ArbiBird #1: Background: Blue, Beak: Stark - Gray, Body: Small - Gray, Eyes: Hoodie, Eyewear: Angry - Red, Headwear: Visor (Jade), Outerwear: Captain's Cap
ArbiBird #149: Background: Blue, Beak: Guardian - Purple, Body: Small - Robot, Eyes: Hoodie, Eyewear: Heart - Epic, Headwear: Sunglasses, Outerwear: Diamond (Jade)
ArbiBird #150: Background: Blue, Beak: Emperor - Brown, Body: Small - Gray, Eyes: Hoodie, Eyewear: Fire - Epic, Headwear: Eyepatch, Outerwear: Space Helmet
ArbiBird #151: Background: Blue, Beak: Stark - Gray, Body: Short - Orange, Eyes: Diamond Necklace, Eyewear: Side-eye - Red, Headwear: Big Tech, Outerwear: Backwards Hat
ArbiBird #152: Background: Blue, Beak: Professor - White, Body: Small - Ruby, Eyes: Hoodie Down, Eyewear: Open - Red, Headwear: None, Outerwear: Queen's Crown
ArbiBird #153: Background: Blue, Beak: Tabby - Pink, Body: Small - Golden, Eyes: Hoodie, Eyewear: Discerning - White, Headwear: Visor, Outerwear: Parliament Mask (Jade)
ArbiBird #154: Background: Blue, Beak: Professor - Pink, Body: Long - Gray, Eyes: Jean Jacket, Eyewear: Open - White, Headwear: 3D Glasses, Outerwear: Forest Ranger
ArbiBird #155: Background: Blue, Beak: Tranquil - Gray, Body: Small - Ruby, Eyes: Bomber Jacket, Eyewear: Angry - Yellow, Headwear: Black-rimmed Glasses, Outerwear: Grail
ArbiBird #156: Background: Blue, Beak: Cosmic - Legendary Guardian, Body: Short - Robot, Eyes: None, Eyewear: Open - Gray, Headwear: Jobs Glasses, Outerwear: Cowboy Hat
ArbiBird #157: Background: Blue, Beak: Stark - White, Body: Long - Orange, Eyes: Bomber Jacket, Eyewear: Open - White, Headwear: Visor (Jade), Outerwear: Tiny Crown (Enlightened)
ArbiBird #158: Background: Blue, Beak: Tranquil - Brown, Body: Small (Jade), Eyes: Gold Chain, Eyewear: Side-eye - Red, Headwear: Big Tech, Outerwear: Mohawk (Jade)
ArbiBird #159: Background: Blue, Beak: Tranquil - Brown, Body: Short - Skeleton, Eyes: Hoodie, Eyewear: Open - Rainbow, Headwear: Aviators, Outerwear: Space Helmet
ArbiBird #160: Background: Blue, Beak: Professor - Green, Body: Short - Ruby, Eyes: Hero's Tunic, Eyewear: Open (Enlightened), Headwear: Eyepatch, Outerwear: Skully
ArbiBird #161: Background: Blue, Beak: Stark - Red, Body: Small - Robot, Eyes: Jean Jacket, Eyewear: Open - Skeleton, Headwear: Rose-Colored Glasses, Outerwear: Mohawk (Green)
ArbiBird #162: Background: Blue, Beak: Guardian - Red, Body: Short (Jade), Eyes: Punk Jacket, Eyewear: Glitch 5, Headwear: Visor, Outerwear: Tiny Crown (Jade)
ArbiBird #163: Background: Blue, Beak: Emperor - Blue, Body: Short - Gray, Eyes: Hoodie Down, Eyewear: Side-eye - Blue, Headwear: 3D Glasses, Outerwear: Moon Hat
ArbiBird #164: Background: Blue, Beak: Emperor - Pink, Body: Small - Golden, Eyes: None, Eyewear: Discerning - Blue, Headwear: Visor (Jade), Outerwear: Aviator's Cap
ArbiBird #165: Background: Blue, Beak: Tabby - Brown, Body: Short - Ruby, Eyes: Hoodie Down, Eyewear: Side-eye - Purple, Headwear: None, Outerwear: Diamond
ArbiBird #166: Background: Blue, Beak: Sage - Brown, Body: Long - Ruby, Eyes: Bomber Jacket, Eyewear: Fire - Ruby, Headwear: None, Outerwear: Wizard's Hat
ArbiBird #167: Background: Blue, Beak: Guardian - Brown, Body: Short - Golden, Eyes: Diamond Necklace, Eyewear: Angry - Skeleton, Headwear: Monocle (Jade), Outerwear: Aviator's Cap
ArbiBird #168: Background: Blue, Beak: Enlightened - Legendary Emperor, Body: Short - Robot, Eyes: Bomber Jacket, Eyewear: Adorable - Epic, Headwear: Rose-Colored Glasses, Outerwear: Halo (Jade)
ArbiBird #169: Background: Blue, Beak: Guardian - Purple, Body: Long - Skeleton, Eyes: Hoodie, Eyewear: Open - Skeleton, Headwear: Half-moon Spectacles, Outerwear: Hero's Cap
ArbiBird #170: Background: Blue, Beak: Brave - White, Body: Short - Orange, Eyes: Jean Jacket, Eyewear: Angry - Golden, Headwear: Rose-Colored Glasses, Outerwear: Halo (Jade)
ArbiBird #171: Background: Blue, Beak: Emperor - Purple, Body: Short - Skeleton, Eyes: Punk Jacket, Eyewear: Discerning - Red, Headwear: Monocle, Outerwear: Parliament Mask (Jade)
ArbiBird #172: Background: Blue, Beak: Enlightened - Legendary Emperor, Body: Short (Jade), Eyes: Punk Jacket, Eyewear: Relaxed - Gray, Headwear: Eyepatch, Outerwear: Tiny Crown (Jade)
ArbiBird #173: Background: Blue, Beak: Guardian - Purple, Body: Small - Ruby, Eyes: Bomber Jacket, Eyewear: Angry - Gray, Headwear: Rose-Colored Glasses, Outerwear: Space Helmet
ArbiBird #174: Background: Blue, Beak: Tabby - Red, Body: Long - Skeleton, Eyes: Gold Chain, Eyewear: Fire - Epic, Headwear: Rose-Colored Glasses, Outerwear: Rubber Duck
ArbiBird #175: Background: Blue, Beak: Cosmic - Legendary Guardian, Body: Short - Robot, Eyes: Hoodie, Eyewear: Relaxed - Ruby, Headwear: Sunglasses, Outerwear: Aviator's Cap
ArbiBird #176: Background: Blue, Beak: Guardian - Blue, Body: Long - Orange, Eyes: Hoodie, Eyewear: Fire - Epic, Headwear: Gazelles, Outerwear: Unicorn Horn (Jade)
ArbiBird #177: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Long - Ruby, Eyes: Jean Jacket, Eyewear: Closed (Enlightened), Headwear: Gazelles, Outerwear: Crescent Talisman
ArbiBird #178: Background: Blue, Beak: Sage - Brown, Body: Short - Orange, Eyes: Hero's Tunic, Eyewear: Open - Red, Headwear: Aviators, Outerwear: Dancing Flame (Jade)
ArbiBird #179: Background: Blue, Beak: Enlightened - Legendary Crescent, Body: Small (Cosmic), Eyes: Bomber Jacket, Eyewear: Angry - Golden, Headwear: Visor (Jade), Outerwear: Skully
ArbiBird #180: Background: Blue, Beak: Emperor - Pink, Body: Small (Enlightened), Eyes: Hoodie Down, Eyewear: Glitch 4, Headwear: None, Outerwear: Forest Ranger
ArbiBird #181: Background: Blue, Beak: Emperor - Red, Body: Long - Gray, Eyes: Gold Chain, Eyewear: Open - White, Headwear: Visor, Outerwear: Lincoln
ArbiBird #182: Background: Blue, Beak: Glitch - Legendary Crescent, Body: Small - Orange, Eyes: Punk Jacket, Eyewear: Discerning - Red, Headwear: None, Outerwear: Captain's Cap
ArbiBird #183: Background: Blue, Beak: Sage - Brown, Body: Short - Ruby, Eyes: Diamond Necklace, Eyewear: Adorable - Epic, Headwear: Monocle, Outerwear: Bucket Hat
ArbiBird #184: Background: Blue, Beak: Glitch - Legendary Guardian, Body: Small (Enlightened), Eyes: Hoodie Down, Eyewear: Glitch 3, Headwear: Sunglasses, Outerwear: Captain's Cap
ArbiBird #185: Background: Blue, Beak: Tabby - White, Body: Short - Ruby, Eyes: Gold Chain, Eyewear: Open - Enchanted, Headwear: Big Tech, Outerwear: Skully
ArbiBird #186: Background: Blue, Beak: Guardian - White, Body: Short - Skeleton, Eyes: Hero's Tunic, Eyewear: Side-eye - Purple, Headwear: Visor (Jade), Outerwear: Crescent Talisman
ArbiBird #187: Background: Blue, Beak: Stark - Blue, Body: Short - Ruby, Eyes: Diamond Necklace, Eyewear: Open - Ruby, Headwear: 3D Glasses, Outerwear: Bucket Hat
ArbiBird #188: Background: Blue, Beak: Guardian - Green, Body: Small - Skeleton, Eyes: Bomber Jacket, Eyewear: Open - Diamond, Headwear: Jobs Glasses, Outerwear: Halo (Enlightened Variant)
ArbiBird #189: Background: Blue, Beak: Crescent - Blue, Body: Short - Skeleton, Eyes: Hoodie, Eyewear: Fire - Epic, Headwear: Sunglasses, Outerwear: Grail
ArbiBird #190: Background: Blue, Beak: Emperor - White, Body: Small - Ruby, Eyes: Jean Jacket, Eyewear: Relaxed - Yellow, Headwear: Rose-Colored Glasses, Outerwear: Mohawk (Pink)
ArbiBird #191: Background: Blue, Beak: Tranquil - Green, Body: Small (Enlightened), Eyes: None, Eyewear: Open - Moon, Headwear: 3D Glasses, Outerwear: Parliament Mask (Jade)
ArbiBird #192: Background: Blue, Beak: Brave - White, Body: Small (Cosmic), Eyes: Diamond Necklace, Eyewear: Open - Rainbow, Headwear: Gazelles, Outerwear: Skully (Jade)
ArbiBird #193: Background: Blue, Beak: Stark - Red, Body: Short (Jade), Eyes: Jean Jacket, Eyewear: Side-eye - Yellow, Headwear: Visor (Jade), Outerwear: Skully (Jade)
ArbiBird #194: Background: Blue, Beak: Sage - Red, Body: Small - Gray, Eyes: Hoodie Down, Eyewear: Rainbow - Epic, Headwear: Sunglasses, Outerwear: Durag
ArbiBird #195: Background: Blue, Beak: Crescent - White, Body: Small - Robot, Eyes: Punk Jacket, Eyewear: Diamond - Epic, Headwear: None, Outerwear: Moon Hat
ArbiBird #196: Background: Blue, Beak: Glitch - Legendary Sage, Body: Small - Orange, Eyes: Bomber Jacket, Eyewear: Angry - Ruby, Headwear: Rose-Colored Glasses, Outerwear: Tiny Crown (Enlightened)
ArbiBird #197: Background: Blue, Beak: Sage - Blue, Body: Short - Ruby, Eyes: Diamond Necklace, Eyewear: Open - Green, Headwear: Visor, Outerwear: None
ArbiBird #198: Background: Blue, Beak: Enlightened - Legendary Brave, Body: Small - Skeleton, Eyes: Hero's Tunic, Eyewear: Glitch 1, Headwear: Big Tech, Outerwear: Queen's Crown
ArbiBird #199: Background: Blue, Beak: Sage - Purple, Body: Short - Skeleton, Eyes: Gold Chain, Eyewear: Closed (Enlightened), Headwear: Jobs Glasses, Outerwear: Fire
ArbiBird #200: Background: Blue, Beak: Tranquil - Brown, Body: Short - Golden, Eyes: Hoodie Down, Eyewear: Discerning - Purple, Headwear: Rose-Colored Glasses, Outerwear: None
ArbiBird #201: Background: Blue, Beak: Stark - Purple, Body: Small (Cosmic), Eyes: Jean Jacket, Eyewear: Relaxed - Skeleton, Headwear: Rose-Colored Glasses, Outerwear: Dancing Flame
ArbiBird #202: Background: Blue, Beak: Professor - Red, Body: Short - Orange, Eyes: Diamond Necklace, Eyewear: Relaxed - Green, Headwear: Big Tech, Outerwear: Halo (Jade)
ArbiBird #203: Background: Blue, Beak: Guardian - Green, Body: Short - Ruby, Eyes: Hoodie Down, Eyewear: Glitch 3, Headwear: Jobs Glasses, Outerwear: Mohawk (Pink)
ArbiBird #204: Background: Blue, Beak: Jade - Legendary Professor, Body: Long - Orange, Eyes: Hoodie Down, Eyewear: Angry - White, Headwear: Gazelles, Outerwear: Queen's Crown
ArbiBird #205: Background: Blue, Beak: Sage - Green, Body: Small (Jade), Eyes: Jean Jacket, Eyewear: Open - Moon, Headwear: Half-moon Spectacles, Outerwear: Skully (Jade)
ArbiBird #206: Background: Blue, Beak: Tranquil - Green, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Heart - Epic, Headwear: None, Outerwear: Skully
ArbiBird #207: Background: Blue, Beak: Golden - Legendary Crescent, Body: Short - Ruby, Eyes: None, Eyewear: Angry - White, Headwear: Big Tech, Outerwear: Tiny Crown (Jade)
ArbiBird #208: Background: Blue, Beak: Emperor - Purple, Body: Small - Gray, Eyes: Hero's Tunic, Eyewear: Relaxed - Golden, Headwear: Eyepatch, Outerwear: Grail
ArbiBird #209: Background: Blue, Beak: Crescent - Blue, Body: Small - Skeleton, Eyes: Punk Jacket, Eyewear: Open (Cosmic), Headwear: Sunglasses, Outerwear: Rubber Duck
ArbiBird #210: Background: Blue, Beak: Tabby - Gray, Body: Long - Gray, Eyes: Hero's Tunic, Eyewear: Glitch 2, Headwear: Gazelles, Outerwear: Wizard's Hat
ArbiBird #211: Background: Blue, Beak: Enlightened - Legendary Crescent, Body: Small - Orange, Eyes: Punk Jacket, Eyewear: Side-eye - Yellow, Headwear: Eyepatch, Outerwear: Halo
ArbiBird #212: Background: Blue, Beak: Professor - Black, Body: Small - Robot, Eyes: Punk Jacket, Eyewear: Discerning - Green, Headwear: Half-moon Spectacles, Outerwear: Mohawk (Green)
ArbiBird #213: Background: Blue, Beak: Sage - Gray, Body: Small - Ruby, Eyes: Diamond Necklace, Eyewear: Open (Jade), Headwear: Eyepatch, Outerwear: Halo (Enlightened Variant)
ArbiBird #214: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Small - Skeleton, Eyes: Hoodie, Eyewear: Open (Jade), Headwear: Black-rimmed Glasses, Outerwear: Karate Band
ArbiBird #215: Background: Blue, Beak: Tranquil - Purple, Body: Small - Skeleton, Eyes: Punk Jacket, Eyewear: Relaxed - Yellow, Headwear: Aviators, Outerwear: Beanie
ArbiBird #216: Background: Blue, Beak: Professor - Green, Body: Short - Orange, Eyes: Bomber Jacket, Eyewear: Relaxed - Ruby, Headwear: None, Outerwear: Crescent Talisman
ArbiBird #217: Background: Blue, Beak: Tranquil - Black, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Angry - Golden, Headwear: Sunglasses, Outerwear: Dancing Flame (Jade)
ArbiBird #218: Background: Blue, Beak: Skeleton - Bone, Body: Long - Ruby, Eyes: None, Eyewear: Open - Golden, Headwear: Monocle (Jade), Outerwear: Wizard's Hat (Jade)
ArbiBird #219: Background: Blue, Beak: Tranquil - White, Body: Small (Cosmic), Eyes: Gold Chain, Eyewear: Angry - Green, Headwear: Visor, Outerwear: Crescent Talisman
ArbiBird #220: Background: Blue, Beak: Crescent - Green, Body: Long - Orange, Eyes: Punk Jacket, Eyewear: Diamond - Epic, Headwear: Rose-Colored Glasses, Outerwear: Mohawk (Pink)
ArbiBird #221: Background: Blue, Beak: Golden - Legendary Professor, Body: Short - Golden, Eyes: Bomber Jacket, Eyewear: Open (Cosmic), Headwear: Rose-Colored Glasses, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #222: Background: Blue, Beak: Stark - Red, Body: Short - Golden, Eyes: Hero's Tunic, Eyewear: Relaxed - Purple, Headwear: Monocle, Outerwear: Parliament Mask (Jade)
ArbiBird #223: Background: Blue, Beak: Enlightened - Legendary Emperor, Body: Small - Robot, Eyes: None, Eyewear: Relaxed - Ruby, Headwear: None, Outerwear: Headphones
ArbiBird #224: Background: Blue, Beak: Stark - Green, Body: Small (Enlightened), Eyes: Gold Chain, Eyewear: Open - Purple, Headwear: Eyepatch, Outerwear: None
ArbiBird #225: Background: Blue, Beak: Sage - Gray, Body: Small - Ruby, Eyes: Jean Jacket, Eyewear: Diamond - Epic, Headwear: Black-rimmed Glasses, Outerwear: Parliament Mask (Jade)
ArbiBird #226: Background: Blue, Beak: Glitch - Legendary Sage, Body: Small - Gray, Eyes: Punk Jacket, Eyewear: Side-eye - Yellow, Headwear: Aviators, Outerwear: Wizard's Hat (Jade)
ArbiBird #227: Background: Blue, Beak: Tranquil - Black, Body: Small - Robot, Eyes: Jean Jacket, Eyewear: Discerning - Skeleton, Headwear: Monocle (Jade), Outerwear: Queen's Crown
ArbiBird #228: Background: Blue, Beak: Professor - Green, Body: Short - Gray, Eyes: Punk Jacket, Eyewear: Relaxed (Jade), Headwear: Aviators, Outerwear: Tiara
ArbiBird #229: Background: Blue, Beak: Professor - Gray, Body: Small - Gray, Eyes: Diamond Necklace, Eyewear: Angry - Gray, Headwear: Sunglasses, Outerwear: Tiara
ArbiBird #230: Background: Blue, Beak: Sage - Gray, Body: Small - Golden, Eyes: Hoodie Down, Eyewear: Diamond - Epic, Headwear: 3D Glasses, Outerwear: Parliament Mask (Jade)
ArbiBird #231: Background: Blue, Beak: Stark - Gray, Body: Small - Ruby, Eyes: Gold Chain, Eyewear: Side-eye - Blue, Headwear: Big Tech, Outerwear: Durag
ArbiBird #232: Background: Blue, Beak: Tranquil - Red, Body: Long - Robot, Eyes: None, Eyewear: Side-eye - Purple, Headwear: Black-rimmed Glasses, Outerwear: Dancing Flame (Jade)
ArbiBird #233: Background: Blue, Beak: Professor - Red, Body: Long - Orange, Eyes: Hoodie Down, Eyewear: Open - Rainbow, Headwear: Black-rimmed Glasses, Outerwear: Diamond
ArbiBird #234: Background: Blue, Beak: Tranquil - Red, Body: Small - Skeleton, Eyes: Hero's Tunic, Eyewear: Glitch 2, Headwear: Black-rimmed Glasses, Outerwear: Halo
ArbiBird #235: Background: Blue, Beak: Brave - Brown, Body: Long - Skeleton, Eyes: Jean Jacket, Eyewear: Relaxed - Purple, Headwear: Black-rimmed Glasses, Outerwear: None
ArbiBird #236: Background: Blue, Beak: Robot - Metal, Body: Short - Golden, Eyes: Punk Jacket, Eyewear: Glitch 2, Headwear: 3D Glasses, Outerwear: Beanie
ArbiBird #237: Background: Blue, Beak: Guardian - Brown, Body: Long - Skeleton, Eyes: Jean Jacket, Eyewear: Discerning - Yellow, Headwear: Visor, Outerwear: Mohawk (Jade)
ArbiBird #238: Background: Blue, Beak: Glitch - Legendary Emperor, Body: Long - Robot, Eyes: Jean Jacket, Eyewear: Side-eye - Red, Headwear: Monocle (Jade), Outerwear: Flower
ArbiBird #239: Background: Blue, Beak: Tabby - Pink, Body: Short - Ruby, Eyes: Gold Chain, Eyewear: Relaxed - Ruby, Headwear: Eyepatch, Outerwear: Captain's Cap
ArbiBird #240: Background: Blue, Beak: Guardian - Red, Body: Small (Cosmic), Eyes: None, Eyewear: Angry - White, Headwear: Black-rimmed Glasses, Outerwear: Crescent Talisman (Jade)
ArbiBird #241: Background: Blue, Beak: Tranquil - Gray, Body: Small (Enlightened), Eyes: Diamond Necklace, Eyewear: Open - Golden, Headwear: Big Tech, Outerwear: Rubber Duck
ArbiBird #242: Background: Blue, Beak: Emperor - White, Body: Small - Golden, Eyes: None, Eyewear: Rainbow - Epic, Headwear: Visor, Outerwear: Wizard's Hat
ArbiBird #243: Background: Blue, Beak: Jade - Legendary Emperor, Body: Long - Gray, Eyes: Hoodie, Eyewear: Angry - Purple, Headwear: Visor (Jade), Outerwear: Tiny Crown
ArbiBird #244: Background: Blue, Beak: Emperor - Brown, Body: Small - Skeleton, Eyes: Hero's Tunic, Eyewear: Relaxed (Enlightened), Headwear: 3D Glasses, Outerwear: Dancing Flame (Jade)
ArbiBird #245: Background: Blue, Beak: Sage - Gray, Body: Small (Jade), Eyes: Bomber Jacket, Eyewear: Angry - Yellow, Headwear: None, Outerwear: Halo (Jade)
ArbiBird #246: Background: Blue, Beak: Jade - Legendary Professor, Body: Small - Orange, Eyes: Hoodie, Eyewear: Open - Red, Headwear: None, Outerwear: Diamond (Jade)
ArbiBird #247: Background: Blue, Beak: Tabby - Brown, Body: Long - Skeleton, Eyes: Gold Chain, Eyewear: Open (Jade), Headwear: Black-rimmed Glasses, Outerwear: Durag
ArbiBird #248: Background: Blue, Beak: Sage - Purple, Body: Short - Orange, Eyes: Hoodie, Eyewear: Discerning - Blue, Headwear: Aviators, Outerwear: Dancing Flame (Jade)
ArbiBird #249: Background: Blue, Beak: Crescent - Purple, Body: Small - Skeleton, Eyes: Gold Chain, Eyewear: Relaxed - Ruby, Headwear: Jobs Glasses, Outerwear: Crescent Talisman
ArbiBird #250: Background: Blue, Beak: Jade - Legendary Emperor, Body: Short - Gray, Eyes: Bomber Jacket, Eyewear: Side-eye - White, Headwear: Visor (Jade), Outerwear: Bow
ArbiBird #251: Background: Blue, Beak: Stark - White, Body: Long - Robot, Eyes: Bomber Jacket, Eyewear: Relaxed (Enlightened), Headwear: Jobs Glasses, Outerwear: Grail
ArbiBird #252: Background: Blue, Beak: Brave - Red, Body: Small - Robot, Eyes: Diamond Necklace, Eyewear: Relaxed - White, Headwear: Black-rimmed Glasses, Outerwear: Grail
ArbiBird #253: Background: Blue, Beak: Golden - Legendary Professor, Body: Short (Jade), Eyes: Gold Chain, Eyewear: Fire - Ruby, Headwear: Eyepatch, Outerwear: Witch's Hat
ArbiBird #254: Background: Blue, Beak: Ruby Skeleton - Legendary Bone, Body: Long - Ruby, Eyes: Jean Jacket, Eyewear: Open - Red, Headwear: Half-moon Spectacles, Outerwear: Karate Band
ArbiBird #255: Background: Blue, Beak: Ruby Skeleton - Legendary Bone, Body: Long - Robot, Eyes: Punk Jacket, Eyewear: Angry - Ruby, Headwear: Visor (Jade), Outerwear: Witch's Hat
ArbiBird #256: Background: Blue, Beak: Stark - Green, Body: Small - Ruby, Eyes: Diamond Necklace, Eyewear: Relaxed - Ruby, Headwear: Monocle, Outerwear: None
ArbiBird #257: Background: Blue, Beak: Guardian - White, Body: Short - Ruby, Eyes: Hero's Tunic, Eyewear: Angry - Robot, Headwear: Visor, Outerwear: Rubber Duck
ArbiBird #258: Background: Blue, Beak: Professor - Pink, Body: Small - Golden, Eyes: Hoodie Down, Eyewear: Glitch 3, Headwear: Monocle, Outerwear: Diamond
ArbiBird #259: Background: Blue, Beak: Crescent - Purple, Body: Long - Robot, Eyes: Hero's Tunic, Eyewear: Side-eye - Purple, Headwear: Monocle, Outerwear: Tiny Crown
ArbiBird #260: Background: Blue, Beak: Tranquil - Black, Body: Small - Golden, Eyes: Bomber Jacket, Eyewear: Open - Adorable, Headwear: Monocle (Jade), Outerwear: Skully (Jade)
ArbiBird #261: Background: Blue, Beak: Jade - Legendary Professor, Body: Long - Orange, Eyes: Hero's Tunic, Eyewear: Glitch 2, Headwear: Half-moon Spectacles, Outerwear: Wizard's Hat (Jade)
ArbiBird #262: Background: Blue, Beak: Tranquil - Black, Body: Short - Robot, Eyes: Diamond Necklace, Eyewear: Relaxed - Gray, Headwear: Eyepatch, Outerwear: Unicorn Horn (Jade)
ArbiBird #263: Background: Blue, Beak: Brave - White, Body: Small (Cosmic), Eyes: Bomber Jacket, Eyewear: Angry - Blue, Headwear: Sunglasses, Outerwear: Bandana
ArbiBird #264: Background: Blue, Beak: Brave - Gray, Body: Small - Robot, Eyes: Hoodie Down, Eyewear: Angry - Gray, Headwear: None, Outerwear: Unicorn Horn (Jade)
ArbiBird #265: Background: Blue, Beak: Professor - Black, Body: Short - Ruby, Eyes: Hoodie Down, Eyewear: Relaxed - White, Headwear: None, Outerwear: Parliament Mask (Jade)
