ArbiBird #1: Background: Blue, Body: Stark - Gray, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Visor (Jade), Headwear: Captain's Cap
ArbiBird #149: Background: Blue, Body: Guardian - Purple, Beak: Small - Robot, Outerwear: Hoodie, Eyes: Heart - Epic, Eyewear: Sunglasses, Headwear: Diamond (Jade)
ArbiBird #150: Background: Blue, Body: Emperor - Brown, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Fire - Epic, Eyewear: Eyepatch, Headwear: Space Helmet
ArbiBird #151: Background: Blue, Body: Stark - Gray, Beak: Short - Orange, Outerwear: Diamond Necklace, Eyes: Side-eye - Red, Eyewear: Big Tech, Headwear: Backwards Hat
ArbiBird #152: Background: Blue, Body: Professor - White, Beak: Small - Ruby, Outerwear: Hoodie Down, Eyes: Open - Red, Eyewear: None, Headwear: Queen's Crown
ArbiBird #153: Background: Blue, Body: Tabby - Pink, Beak: Small - Golden, Outerwear: Hoodie, Eyes: Discerning - White, Eyewear: Visor, Headwear: Parliament Mask (Jade)
ArbiBird #154: Background: Blue, Body: Professor - Pink, Beak: Long - Gray, Outerwear: Jean Jacket, Eyes: Open - White, Eyewear: 3D Glasses, Headwear: Forest Ranger
ArbiBird #155: Background: Blue, Body: Tranquil - Gray, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Angry - Yellow, Eyewear: Black-rimmed Glasses, Headwear: Grail
ArbiBird #156: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Short - Robot, Outerwear: None, Eyes: Open - Gray, Eyewear: Jobs Glasses, Headwear: Cowboy Hat
ArbiBird #157: Background: Blue, Body: Stark - White, Beak: Long - Orange, Outerwear: Bomber Jacket, Eyes: Open - White, Eyewear: Visor (Jade), Headwear: Tiny Crown (Enlightened)
ArbiBird #158: Background: Blue, Body: Tranquil - Brown, Beak: Small (Jade), Outerwear: Gold Chain, Eyes: Side-eye - Red, Eyewear: Big Tech, Headwear: Mohawk (Jade)
ArbiBird #159: Background: Blue, Body: Tranquil - Brown, Beak: Short - Skeleton, Outerwear: Hoodie, Eyes: Open - Rainbow, Eyewear: Aviators, Headwear: Space Helmet
ArbiBird #160: Background: Blue, Body: Professor - Green, Beak: Short - Ruby, Outerwear: Hero's Tunic, Eyes: Open (Enlightened), Eyewear: Eyepatch, Headwear: Skully
ArbiBird #161: Background: Blue, Body: Stark - Red, Beak: Small - Robot, Outerwear: Jean Jacket, Eyes: Open - Skeleton, Eyewear: Rose-Colored Glasses, Headwear: Mohawk (Green)
ArbiBird #162: Background: Blue, Body: Guardian - Red, Beak: Short (Jade), Outerwear: Punk Jacket, Eyes: Glitch 5, Eyewear: Visor, Headwear: Tiny Crown (Jade)
ArbiBird #163: Background: Blue, Body: Emperor - Blue, Beak: Short - Gray, Outerwear: Hoodie Down, Eyes: Side-eye - Blue, Eyewear: 3D Glasses, Headwear: Moon Hat
ArbiBird #164: Background: Blue, Body: Emperor - Pink, Beak: Small - Golden, Outerwear: None, Eyes: Discerning - Blue, Eyewear: Visor (Jade), Headwear: Aviator's Cap
ArbiBird #165: Background: Blue, Body: Tabby - Brown, Beak: Short - Ruby, Outerwear: Hoodie Down, Eyes: Side-eye - Purple, Eyewear: None, Headwear: Diamond
ArbiBird #166: Background: Blue, Body: Sage - Brown, Beak: Long - Ruby, Outerwear: Bomber Jacket, Eyes: Fire - Ruby, Eyewear: None, Headwear: Wizard's Hat
ArbiBird #167: Background: Blue, Body: Guardian - Brown, Beak: Short - Golden, Outerwear: Diamond Necklace, Eyes: Angry - Skeleton, Eyewear: Monocle (Jade), Headwear: Aviator's Cap
ArbiBird #168: Background: Blue, Body: Enlightened - Legendary Emperor, Beak: Short - Robot, Outerwear: Bomber Jacket, Eyes: Adorable - Epic, Eyewear: Rose-Colored Glasses, Headwear: Halo (Jade)
ArbiBird #169: Background: Blue, Body: Guardian - Purple, Beak: Long - Skeleton, Outerwear: Hoodie, Eyes: Open - Skeleton, Eyewear: Half-moon Spectacles, Headwear: Hero's Cap
ArbiBird #170: Background: Blue, Body: Brave - White, Beak: Short - Orange, Outerwear: Jean Jacket, Eyes: Angry - Golden, Eyewear: Rose-Colored Glasses, Headwear: Halo (Jade)
ArbiBird #171: Background: Blue, Body: Emperor - Purple, Beak: Short - Skeleton, Outerwear: Punk Jacket, Eyes: Discerning - Red, Eyewear: Monocle, Headwear: Parliament Mask (Jade)
ArbiBird #172: Background: Blue, Body: Enlightened - Legendary Emperor, Beak: Short (Jade), Outerwear: Punk Jacket, Eyes: Relaxed - Gray, Eyewear: Eyepatch, Headwear: Tiny Crown (Jade)
ArbiBird #173: Background: Blue, Body: Guardian - Purple, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Angry - Gray, Eyewear: Rose-Colored Glasses, Headwear: Space Helmet
ArbiBird #174: Background: Blue, Body: Tabby - Red, Beak: Long - Skeleton, Outerwear: Gold Chain, Eyes: Fire - Epic, Eyewear: Rose-Colored Glasses, Headwear: Rubber Duck
ArbiBird #175: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Short - Robot, Outerwear: Hoodie, Eyes: Relaxed - Ruby, Eyewear: Sunglasses, Headwear: Aviator's Cap
ArbiBird #176: Background: Blue, Body: Guardian - Blue, Beak: Long - Orange, Outerwear: Hoodie, Eyes: Fire - Epic, Eyewear: Gazelles, Headwear: Unicorn Horn (Jade)
ArbiBird #177: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Long - Ruby, Outerwear: Jean Jacket, Eyes: Closed (Enlightened), Eyewear: Gazelles, Headwear: Crescent Talisman
ArbiBird #178: Background: Blue, Body: Sage - Brown, Beak: Short - Orange, Outerwear: Hero's Tunic, Eyes: Open - Red, Eyewear: Aviators, Headwear: Dancing Flame (Jade)
ArbiBird #179: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Small (Cosmic), Outerwear: Bomber Jacket, Eyes: Angry - Golden, Eyewear: Visor (Jade), Headwear: Skully
ArbiBird #180: Background: Blue, Body: Emperor - Pink, Beak: Small (Enlightened), Outerwear: Hoodie Down, Eyes: Glitch 4, Eyewear: None, Headwear: Forest Ranger
ArbiBird #181: Background: Blue, Body: Emperor - Red, Beak: Long - Gray, Outerwear: Gold Chain, Eyes: Open - White, Eyewear: Visor, Headwear: Lincoln
ArbiBird #182: Background: Blue, Body: Glitch - Legendary Crescent, Beak: Small - Orange, Outerwear: Punk Jacket, Eyes: Discerning - Red, Eyewear: None, Headwear: Captain's Cap
ArbiBird #183: Background: Blue, Body: Sage - Brown, Beak: Short - Ruby, Outerwear: Diamond Necklace, Eyes: Adorable - Epic, Eyewear: Monocle, Headwear: Bucket Hat
ArbiBird #184: Background: Blue, Body: Glitch - Legendary Guardian, Beak: Small (Enlightened), Outerwear: Hoodie Down, Eyes: Glitch 3, Eyewear: Sunglasses, Headwear: Captain's Cap
ArbiBird #185: Background: Blue, Body: Tabby - White, Beak: Short - Ruby, Outerwear: Gold Chain, Eyes: Open - Enchanted, Eyewear: Big Tech, Headwear: Skully
ArbiBird #186: Background: Blue, Body: Guardian - White, Beak: Short - Skeleton, Outerwear: Hero's Tunic, Eyes: Side-eye - Purple, Eyewear: Visor (Jade), Headwear: Crescent Talisman
ArbiBird #187: Background: Blue, Body: Stark - Blue, Beak: Short - Ruby, Outerwear: Diamond Necklace, Eyes: Open - Ruby, Eyewear: 3D Glasses, Headwear: Bucket Hat
ArbiBird #188: Background: Blue, Body: Guardian - Green, Beak: Small - Skeleton, Outerwear: Bomber Jacket, Eyes: Open - Diamond, Eyewear: Jobs Glasses, Headwear: Halo (Enlightened Variant)
ArbiBird #189: Background: Blue, Body: Crescent - Blue, Beak: Short - Skeleton, Outerwear: Hoodie, Eyes: Fire - Epic, Eyewear: Sunglasses, Headwear: Grail
ArbiBird #190: Background: Blue, Body: Emperor - White, Beak: Small - Ruby, Outerwear: Jean Jacket, Eyes: Relaxed - Yellow, Eyewear: Rose-Colored Glasses, Headwear: Mohawk (Pink)
ArbiBird #191: Background: Blue, Body: Tranquil - Green, Beak: Small (Enlightened), Outerwear: None, Eyes: Open - Moon, Eyewear: 3D Glasses, Headwear: Parliament Mask (Jade)
ArbiBird #192: Background: Blue, Body: Brave - White, Beak: Small (Cosmic), Outerwear: Diamond Necklace, Eyes: Open - Rainbow, Eyewear: Gazelles, Headwear: Skully (Jade)
ArbiBird #193: Background: Blue, Body: Stark - Red, Beak: Short (Jade), Outerwear: Jean Jacket, Eyes: Side-eye - Yellow, Eyewear: Visor (Jade), Headwear: Skully (Jade)
ArbiBird #194: Background: Blue, Body: Sage - Red, Beak: Small - Gray, Outerwear: Hoodie Down, Eyes: Rainbow - Epic, Eyewear: Sunglasses, Headwear: Durag
ArbiBird #195: Background: Blue, Body: Crescent - White, Beak: Small - Robot, Outerwear: Punk Jacket, Eyes: Diamond - Epic, Eyewear: None, Headwear: Moon Hat
ArbiBird #196: Background: Blue, Body: Glitch - Legendary Sage, Beak: Small - Orange, Outerwear: Bomber Jacket, Eyes: Angry - Ruby, Eyewear: Rose-Colored Glasses, Headwear: Tiny Crown (Enlightened)
ArbiBird #197: Background: Blue, Body: Sage - Blue, Beak: Short - Ruby, Outerwear: Diamond Necklace, Eyes: Open - Green, Eyewear: Visor, Headwear: None
ArbiBird #198: Background: Blue, Body: Enlightened - Legendary Brave, Beak: Small - Skeleton, Outerwear: Hero's Tunic, Eyes: Glitch 1, Eyewear: Big Tech, Headwear: Queen's Crown
ArbiBird #199: Background: Blue, Body: Sage - Purple, Beak: Short - Skeleton, Outerwear: Gold Chain, Eyes: Closed (Enlightened), Eyewear: Jobs Glasses, Headwear: Fire
ArbiBird #200: Background: Blue, Body: Tranquil - Brown, Beak: Short - Golden, Outerwear: Hoodie Down, Eyes: Discerning - Purple, Eyewear: Rose-Colored Glasses, Headwear: None
ArbiBird #201: Background: Blue, Body: Stark - Purple, Beak: Small (Cosmic), Outerwear: Jean Jacket, Eyes: Relaxed - Skeleton, Eyewear: Rose-Colored Glasses, Headwear: Dancing Flame
ArbiBird #202: Background: Blue, Body: Professor - Red, Beak: Short - Orange, Outerwear: Diamond Necklace, Eyes: Relaxed - Green, Eyewear: Big Tech, Headwear: Halo (Jade)
ArbiBird #203: Background: Blue, Body: Guardian - Green, Beak: Short - Ruby, Outerwear: Hoodie Down, Eyes: Glitch 3, Eyewear: Jobs Glasses, Headwear: Mohawk (Pink)
ArbiBird #204: Background: Blue, Body: Jade - Legendary Professor, Beak: Long - Orange, Outerwear: Hoodie Down, Eyes: Angry - White, Eyewear: Gazelles, Headwear: Queen's Crown
ArbiBird #205: Background: Blue, Body: Sage - Green, Beak: Small (Jade), Outerwear: Jean Jacket, Eyes: Open - Moon, Eyewear: Half-moon Spectacles, Headwear: Skully (Jade)
ArbiBird #206: Background: Blue, Body: Tranquil - Green, Beak: Short - Robot, Outerwear: Punk Jacket, Eyes: Heart - Epic, Eyewear: None, Headwear: Skully
ArbiBird #207: Background: Blue, Body: Golden - Legendary Crescent, Beak: Short - Ruby, Outerwear: None, Eyes: Angry - White, Eyewear: Big Tech, Headwear: Tiny Crown (Jade)
ArbiBird #208: Background: Blue, Body: Emperor - Purple, Beak: Small - Gray, Outerwear: Hero's Tunic, Eyes: Relaxed - Golden, Eyewear: Eyepatch, Headwear: Grail
ArbiBird #209: Background: Blue, Body: Crescent - Blue, Beak: Small - Skeleton, Outerwear: Punk Jacket, Eyes: Open (Cosmic), Eyewear: Sunglasses, Headwear: Rubber Duck
ArbiBird #210: Background: Blue, Body: Tabby - Gray, Beak: Long - Gray, Outerwear: Hero's Tunic, Eyes: Glitch 2, Eyewear: Gazelles, Headwear: Wizard's Hat
ArbiBird #211: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Small - Orange, Outerwear: Punk Jacket, Eyes: Side-eye - Yellow, Eyewear: Eyepatch, Headwear: Halo
ArbiBird #212: Background: Blue, Body: Professor - Black, Beak: Small - Robot, Outerwear: Punk Jacket, Eyes: Discerning - Green, Eyewear: Half-moon Spectacles, Headwear: Mohawk (Green)
ArbiBird #213: Background: Blue, Body: Sage - Gray, Beak: Small - Ruby, Outerwear: Diamond Necklace, Eyes: Open (Jade), Eyewear: Eyepatch, Headwear: Halo (Enlightened Variant)
ArbiBird #214: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Small - Skeleton, Outerwear: Hoodie, Eyes: Open (Jade), Eyewear: Black-rimmed Glasses, Headwear: Karate Band
ArbiBird #215: Background: Blue, Body: Tranquil - Purple, Beak: Small - Skeleton, Outerwear: Punk Jacket, Eyes: Relaxed - Yellow, Eyewear: Aviators, Headwear: Beanie
ArbiBird #216: Background: Blue, Body: Professor - Green, Beak: Short - Orange, Outerwear: Bomber Jacket, Eyes: Relaxed - Ruby, Eyewear: None, Headwear: Crescent Talisman
ArbiBird #217: Background: Blue, Body: Tranquil - Black, Beak: Short - Robot, Outerwear: Punk Jacket, Eyes: Angry - Golden, Eyewear: Sunglasses, Headwear: Dancing Flame (Jade)
ArbiBird #218: Background: Blue, Body: Skeleton - Bone, Beak: Long - Ruby, Outerwear: None, Eyes: Open - Golden, Eyewear: Monocle (Jade), Headwear: Wizard's Hat (Jade)
ArbiBird #219: Background: Blue, Body: Tranquil - White, Beak: Small (Cosmic), Outerwear: Gold Chain, Eyes: Angry - Green, Eyewear: Visor, Headwear: Crescent Talisman
ArbiBird #220: Background: Blue, Body: Crescent - Green, Beak: Long - Orange, Outerwear: Punk Jacket, Eyes: Diamond - Epic, Eyewear: Rose-Colored Glasses, Headwear: Mohawk (Pink)
ArbiBird #221: Background: Blue, Body: Golden - Legendary Professor, Beak: Short - Golden, Outerwear: Bomber Jacket, Eyes: Open (Cosmic), Eyewear: Rose-Colored Glasses, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #222: Background: Blue, Body: Stark - Red, Beak: Short - Golden, Outerwear: Hero's Tunic, Eyes: Relaxed - Purple, Eyewear: Monocle, Headwear: Parliament Mask (Jade)
ArbiBird #223: Background: Blue, Body: Enlightened - Legendary Emperor, Beak: Small - Robot, Outerwear: None, Eyes: Relaxed - Ruby, Eyewear: None, Headwear: Headphones
ArbiBird #224: Background: Blue, Body: Stark - Green, Beak: Small (Enlightened), Outerwear: Gold Chain, Eyes: Open - Purple, Eyewear: Eyepatch, Headwear: None
ArbiBird #225: Background: Blue, Body: Sage - Gray, Beak: Small - Ruby, Outerwear: Jean Jacket, Eyes: Diamond - Epic, Eyewear: Black-rimmed Glasses, Headwear: Parliament Mask (Jade)
ArbiBird #226: Background: Blue, Body: Glitch - Legendary Sage, Beak: Small - Gray, Outerwear: Punk Jacket, Eyes: Side-eye - Yellow, Eyewear: Aviators, Headwear: Wizard's Hat (Jade)
ArbiBird #227: Background: Blue, Body: Tranquil - Black, Beak: Small - Robot, Outerwear: Jean Jacket, Eyes: Discerning - Skeleton, Eyewear: Monocle (Jade), Headwear: Queen's Crown
ArbiBird #228: Background: Blue, Body: Professor - Green, Beak: Short - Gray, Outerwear: Punk Jacket, Eyes: Relaxed (Jade), Eyewear: Aviators, Headwear: Tiara
ArbiBird #229: Background: Blue, Body: Professor - Gray, Beak: Small - Gray, Outerwear: Diamond Necklace, Eyes: Angry - Gray, Eyewear: Sunglasses, Headwear: Tiara
ArbiBird #230: Background: Blue, Body: Sage - Gray, Beak: Small - Golden, Outerwear: Hoodie Down, Eyes: Diamond - Epic, Eyewear: 3D Glasses, Headwear: Parliament Mask (Jade)
ArbiBird #231: Background: Blue, Body: Stark - Gray, Beak: Small - Ruby, Outerwear: Gold Chain, Eyes: Side-eye - Blue, Eyewear: Big Tech, Headwear: Durag
ArbiBird #232: Background: Blue, Body: Tranquil - Red, Beak: Long - Robot, Outerwear: None, Eyes: Side-eye - Purple, Eyewear: Black-rimmed Glasses, Headwear: Dancing Flame (Jade)
ArbiBird #233: Background: Blue, Body: Professor - Red, Beak: Long - Orange, Outerwear: Hoodie Down, Eyes: Open - Rainbow, Eyewear: Black-rimmed Glasses, Headwear: Diamond
ArbiBird #234: Background: Blue, Body: Tranquil - Red, Beak: Small - Skeleton, Outerwear: Hero's Tunic, Eyes: Glitch 2, Eyewear: Black-rimmed Glasses, Headwear: Halo
ArbiBird #235: Background: Blue, Body: Brave - Brown, Beak: Long - Skeleton, Outerwear: Jean Jacket, Eyes: Relaxed - Purple, Eyewear: Black-rimmed Glasses, Headwear: None
ArbiBird #236: Background: Blue, Body: Robot - Metal, Beak: Short - Golden, Outerwear: Punk Jacket, Eyes: Glitch 2, Eyewear: 3D Glasses, Headwear: Beanie
ArbiBird #237: Background: Blue, Body: Guardian - Brown, Beak: Long - Skeleton, Outerwear: Jean Jacket, Eyes: Discerning - Yellow, Eyewear: Visor, Headwear: Mohawk (Jade)
ArbiBird #238: Background: Blue, Body: Glitch - Legendary Emperor, Beak: Long - Robot, Outerwear: Jean Jacket, Eyes: Side-eye - Red, Eyewear: Monocle (Jade), Headwear: Flower
ArbiBird #239: Background: Blue, Body: Tabby - Pink, Beak: Short - Ruby, Outerwear: Gold Chain, Eyes: Relaxed - Ruby, Eyewear: Eyepatch, Headwear: Captain's Cap
ArbiBird #240: Background: Blue, Body: Guardian - Red, Beak: Small (Cosmic), Outerwear: None, Eyes: Angry - White, Eyewear: Black-rimmed Glasses, Headwear: Crescent Talisman (Jade)
ArbiBird #241: Background: Blue, Body: Tranquil - Gray, Beak: Small (Enlightened), Outerwear: Diamond Necklace, Eyes: Open - Golden, Eyewear: Big Tech, Headwear: Rubber Duck
ArbiBird #242: Background: Blue, Body: Emperor - White, Beak: Small - Golden, Outerwear: None, Eyes: Rainbow - Epic, Eyewear: Visor, Headwear: Wizard's Hat
ArbiBird #243: Background: Blue, Body: Jade - Legendary Emperor, Beak: Long - Gray, Outerwear: Hoodie, Eyes: Angry - Purple, Eyewear: Visor (Jade), Headwear: Tiny Crown
ArbiBird #244: Background: Blue, Body: Emperor - Brown, Beak: Small - Skeleton, Outerwear: Hero's Tunic, Eyes: Relaxed (Enlightened), Eyewear: 3D Glasses, Headwear: Dancing Flame (Jade)
ArbiBird #245: Background: Blue, Body: Sage - Gray, Beak: Small (Jade), Outerwear: Bomber Jacket, Eyes: Angry - Yellow, Eyewear: None, Headwear: Halo (Jade)
ArbiBird #246: Background: Blue, Body: Jade - Legendary Professor, Beak: Small - Orange, Outerwear: Hoodie, Eyes: Open - Red, Eyewear: None, Headwear: Diamond (Jade)
ArbiBird #247: Background: Blue, Body: Tabby - Brown, Beak: Long - Skeleton, Outerwear: Gold Chain, Eyes: Open (Jade), Eyewear: Black-rimmed Glasses, Headwear: Durag
ArbiBird #248: Background: Blue, Body: Sage - Purple, Beak: Short - Orange, Outerwear: Hoodie, Eyes: Discerning - Blue, Eyewear: Aviators, Headwear: Dancing Flame (Jade)
ArbiBird #249: Background: Blue, Body: Crescent - Purple, Beak: Small - Skeleton, Outerwear: Gold Chain, Eyes: Relaxed - Ruby, Eyewear: Jobs Glasses, Headwear: Crescent Talisman
ArbiBird #250: Background: Blue, Body: Jade - Legendary Emperor, Beak: Short - Gray, Outerwear: Bomber Jacket, Eyes: Side-eye - White, Eyewear: Visor (Jade), Headwear: Bow
ArbiBird #251: Background: Blue, Body: Stark - White, Beak: Long - Robot, Outerwear: Bomber Jacket, Eyes: Relaxed (Enlightened), Eyewear: Jobs Glasses, Headwear: Grail
ArbiBird #252: Background: Blue, Body: Brave - Red, Beak: Small - Robot, Outerwear: Diamond Necklace, Eyes: Relaxed - White, Eyewear: Black-rimmed Glasses, Headwear: Grail
ArbiBird #253: Background: Blue, Body: Golden - Legendary Professor, Beak: Short (Jade), Outerwear: Gold Chain, Eyes: Fire - Ruby, Eyewear: Eyepatch, Headwear: Witch's Hat
ArbiBird #254: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Long - Ruby, Outerwear: Jean Jacket, Eyes: Open - Red, Eyewear: Half-moon Spectacles, Headwear: Karate Band
ArbiBird #255: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Long - Robot, Outerwear: Punk Jacket, Eyes: Angry - Ruby, Eyewear: Visor (Jade), Headwear: Witch's Hat
ArbiBird #256: Background: Blue, Body: Stark - Green, Beak: Small - Ruby, Outerwear: Diamond Necklace, Eyes: Relaxed - Ruby, Eyewear: Monocle, Headwear: None
ArbiBird #257: Background: Blue, Body: Guardian - White, Beak: Short - Ruby, Outerwear: Hero's Tunic, Eyes: Angry - Robot, Eyewear: Visor, Headwear: Rubber Duck
ArbiBird #258: Background: Blue, Body: Professor - Pink, Beak: Small - Golden, Outerwear: Hoodie Down, Eyes: Glitch 3, Eyewear: Monocle, Headwear: Diamond
ArbiBird #259: Background: Blue, Body: Crescent - Purple, Beak: Long - Robot, Outerwear: Hero's Tunic, Eyes: Side-eye - Purple, Eyewear: Monocle, Headwear: Tiny Crown
ArbiBird #260: Background: Blue, Body: Tranquil - Black, Beak: Small - Golden, Outerwear: Bomber Jacket, Eyes: Open - Adorable, Eyewear: Monocle (Jade), Headwear: Skully (Jade)
ArbiBird #261: Background: Blue, Body: Jade - Legendary Professor, Beak: Long - Orange, Outerwear: Hero's Tunic, Eyes: Glitch 2, Eyewear: Half-moon Spectacles, Headwear: Wizard's Hat (Jade)
ArbiBird #262: Background: Blue, Body: Tranquil - Black, Beak: Short - Robot, Outerwear: Diamond Necklace, Eyes: Relaxed - Gray, Eyewear: Eyepatch, Headwear: Unicorn Horn (Jade)
ArbiBird #263: Background: Blue, Body: Brave - White, Beak: Small (Cosmic), Outerwear: Bomber Jacket, Eyes: Angry - Blue, Eyewear: Sunglasses, Headwear: Bandana
ArbiBird #264: Background: Blue, Body: Brave - Gray, Beak: Small - Robot, Outerwear: Hoodie Down, Eyes: Angry - Gray, Eyewear: None, Headwear: Unicorn Horn (Jade)
ArbiBird #265: Background: Blue, Body: Professor - Black, Beak: Short - Ruby, Outerwear: Hoodie Down, Eyes: Relaxed - White, Eyewear: None, Headwear: Parliament Mask (Jade)
